year,month,hour,latitude,longitude,focal_depth_(km),magnitude,country,magnitude_scale
1950,1,17,27.255,53.029,15.0,5.7,IRAN,slight_damage
1950,1,0,-53.5,-71.5,33.0,7.0,CHILE,serious damage
1950,2,19,21.7,100.1,0.0,7.0,CHINA,serious damage
1950,2,9,40.0,40.0,0.0,0.0,TURKEY,limited damage
1950,2,10,46.0,144.0,340.0,7.9,RUSSIA,serious damage
1950,3,8,-8.0,-71.0,550.0,0.0,BRAZIL,limited damage
1950,3,18,-37.8,177.2,0.0,5.8,N. NEW ZEALAND,slight_damage
1950,4,23,6.5,-83.0,0.0,0.0,PANAMA,limited damage
1950,5,13,-15.0,-69.5,250.0,7.9,PERU,serious damage
1950,5,18,-13.5,-72.0,0.0,6.0,PERU,slight_damage
1950,6,12,-6.0,113.0,0.0,6.5,INDONESIA,severe damage
1950,7,2,7.79,-72.61,15.0,6.1,COLOMBIA,severe damage
1950,8,22,9.71,-69.819,15.0,6.4,VENEZUELA,severe damage
1950,8,19,-1.5,-78.2,60.0,6.8,ECUADOR,severe damage
1950,8,14,28.5,96.5,33.0,8.6,INDIA-CHINA,great damage
1950,9,0,23.5,103.1,0.0,5.8,CHINA,slight_damage
1950,10,16,11.0,-85.0,60.0,7.7,COSTA RICA-NICARAGUA,serious damage
1950,10,3,-3.8,128.3,60.0,7.6,INDONESIA,serious damage
1950,10,16,14.31,-91.917,65.0,7.5,GUATEMALA,serious damage
1950,11,15,-6.5,129.5,60.0,8.1,INDONESIA,great damage
1950,11,2,-10.0,159.5,33.0,7.3,SOLOMON ISLANDS,serious damage
1950,11,19,16.5,-100.4,0.0,6.8,MEXICO,severe damage
1950,12,19,-18.25,167.5,60.0,7.8,VANUATU ISLANDS,serious damage
1950,12,21,-23.5,-67.5,100.0,8.0,CHILE-ARGENTINA,great damage
1950,12,2,-14.25,-75.75,80.0,7.0,PERU,serious damage
1950,12,1,-19.5,-176.0,200.0,7.7,TONGA ISLANDS,serious damage
1950,12,14,16.48,-98.22,50.0,7.5,MEXICO,serious damage
1951,2,21,-7.0,146.0,180.0,7.2,PAPUA NEW GUINEA,serious damage
1951,2,1,-3.252,142.238,25.0,6.1,PAPUA NEW GUINEA,severe damage
1951,3,0,9.5,127.3,0.0,7.8,PHILIPPINES,serious damage
1951,5,23,13.0,-87.8,100.0,6.5,EL SALVADOR,severe damage
1951,5,13,-15.0,-69.5,250.0,7.9,PERU,serious damage
1951,7,0,15.99,-96.605,25.0,6.0,MEXICO,slight_damage
1951,8,0,13.0,-87.5,100.0,6.0,NICARAGUA,slight_damage
1951,8,8,13.0,-87.5,100.0,5.5,NICARAGUA,slight_damage
1951,8,22,41.6,13.8,0.0,0.0,ITALY,limited damage
1951,8,18,40.8,33.4,0.0,6.7,TURKEY,severe damage
1951,8,7,33.5,-118.2,0.0,0.0,CALIFORNIA,limited damage
1951,8,10,19.7,-156.0,60.0,6.9,HAWAII,severe damage
1951,10,5,23.8,121.7,21.0,7.3,TAIWAN,serious damage
1951,11,9,31.1,91.4,25.0,7.5,CHINA,serious damage
1951,11,18,22.9,121.5,0.0,7.5,TAIWAN,serious damage
1951,12,4,-34.0,57.0,25.0,7.9,INDIAN OCEAN,serious damage
1951,12,8,26.7,100.0,0.0,6.3,CHINA,severe damage
1952,1,6,39.9,41.7,0.0,6.0,TURKEY,slight_damage
1952,2,11,-14.1,-69.9,0.0,7.5,PERU-BOLIVIA,serious damage
1952,3,1,42.15,143.85,45.0,8.1,JAPAN,great damage
1952,3,17,41.7,142.5,0.0,7.1,JAPAN,serious damage
1952,3,3,19.11,-155.033,33.0,0.0,HAWAII,limited damage
1952,3,10,9.5,127.25,0.0,7.8,PHILIPPINES,serious damage
1952,5,19,10.3,-85.3,64.0,0.0,COSTA RICA-PANAMA,limited damage
1952,6,0,39.8,39.5,0.0,0.0,TURKEY,limited damage
1952,6,12,22.7,99.8,0.0,6.5,CHINA,severe damage
1952,7,11,-18.5,169.25,260.0,6.8,VANUATU ISLANDS,severe damage
1952,7,11,35.0,-119.017,16.0,7.7,CALIFORNIA,serious damage
1952,8,16,30.5,91.5,60.0,0.0,CHINA,limited damage
1952,8,22,35.333,-118.917,16.0,5.8,CALIFORNIA,slight_damage
1952,9,12,28.3,102.2,0.0,6.8,CHINA,severe damage
1952,10,14,39.0,112.7,0.0,5.5,CHINA,slight_damage
1952,10,17,36.5,35.5,0.0,5.0,TURKEY,minor damage
1952,11,16,52.755,160.057,22.0,9.0,RUSSIA,great damage
1952,12,15,22.9,99.7,0.0,5.8,CHINA,slight_damage
1952,12,12,10.3,-83.5,0.0,0.0,COSTA RICA,limited damage
1953,1,13,27.761,54.751,15.0,5.5,IRAN,slight_damage
1953,1,19,18.4,-73.4,0.0,5.7,HAITI,slight_damage
1953,2,8,35.385,54.979,15.0,6.6,IRAN,severe damage
1953,2,0,-12.0,-77.5,0.0,5.5,PERU,slight_damage
1953,3,13,50.0,156.5,0.0,5.8,RUSSIA,slight_damage
1953,3,19,40.0,27.5,0.0,7.5,TURKEY,serious damage
1953,4,16,-4.449,152.868,35.0,7.4,PAPUA NEW GUINEA,serious damage
1953,4,0,29.0,52.0,0.0,0.0,IRAN,limited damage
1953,5,23,24.2,103.2,0.0,5.0,CHINA,minor damage
1953,5,17,-36.5,-72.5,60.0,7.6,CHILE,serious damage
1953,5,19,19.8,-70.7,33.0,7.2,DOMINICAN REPUBLIC,serious damage
1953,6,5,41.4,26.3,0.0,0.0,TURKEY,limited damage
1953,7,6,-19.0,169.0,223.0,7.5,VANUATU ISLANDS,serious damage
1953,8,3,38.1,20.6,33.0,6.8,GREECE,severe damage
1953,8,9,38.3,20.8,0.0,7.2,GREECE,serious damage
1953,9,4,34.741,32.335,20.0,6.3,CYPRUS,severe damage
1953,9,0,-18.3,178.2,33.0,6.4,FIJI ISLANDS,severe damage
1953,11,3,-13.189,166.516,35.0,7.5,SOLOMON ISLANDS,serious damage
1953,11,17,34.0,141.7,60.0,7.4,JAPAN,serious damage
1953,12,2,-22.1,-68.7,128.0,7.4,CHILE,serious damage
1953,12,17,-3.4,-80.6,30.0,7.4,PERU-ECUADOR,serious damage
1954,2,15,17.283,-92.382,85.0,6.1,MEXICO,severe damage
1954,2,0,39.0,101.3,0.0,7.3,CHINA,serious damage
1954,2,18,-34.9,138.7,4.0,5.4,AUSTRALIA,minor damage
1954,3,23,24.5,95.3,180.0,7.4,MYANMAR; INDIA,serious damage
1954,3,6,37.0,-3.5,640.0,7.0,SPAIN,serious damage
1954,4,0,39.8,22.1,0.0,7.0,GREECE,serious damage
1954,4,11,29.5,-29.5,0.0,7.5,ATLANTIC OCEAN,serious damage
1954,4,13,39.3,22.2,0.0,7.0,GREECE,serious damage
1954,6,0,36.0,66.0,0.0,0.0,AFGHANISTAN,limited damage
1954,6,2,31.6,116.6,0.0,5.3,CHINA,minor damage
1954,7,2,13.0,123.9,0.0,6.8,PHILIPPINES,severe damage
